Datetime,P0001,P0002,P0003,P0004,P0005,P0006,P0007,P0008,P0009,P0010,P0011,P0012,P0013,P0014,P0015,P0016,P0017,P0018,P0019,P0020,P0021,P0022,P0023,P0024,P0025,P0026,P0027,P0028,P0029,P0030,P0031,P0032,P0033,P0034,P0035,P0036,P0037,P0038,P0039,P0040,P0041,P0042,P0043,P0044,P0045,P0046,P0047,P0048,P0049,P0050,P0051,P0052,P0053,P0054,P0055,P0056,P0057,P0058,P0059,P0060,P0061,P0062,P0063,P0064,P0065,P0066,P0067,P0068,P0069,P0070,P0071,P0072,P0073,P0074,P0075,P0076,P0077,P0078,P0079,P0080,P0081,P0082,P0083,P0084,P0085,P0086,P0087,P0088,P0089,P0090,P0091,P0092,P0093,P0094,P0095,P0096,P0097,P0098,P0099,P0100
,Generator Electrical Output,Turbine Shaft Output,Gross Electrical Output,Net Electrical Output,Rotor Speed,Shaft Speed,Compressor Speed,Turbine Inlet Temperature 1,Turbine Inlet Temperature 2,Turbine Inlet Temperature 3,Turbine Inlet Temperature 4,Turbine Inlet Temperature 5,Turbine Inlet Temperature 6,Turbine Inlet Temperature 7,Turbine Inlet Temperature 8,Turbine Inlet Temperature 9,Turbine Inlet Temperature 10,Turbine Exhaust Temperature 1,Turbine Exhaust Temperature 2,Turbine Exhaust Temperature 3,Turbine Exhaust Temperature 4,Turbine Exhaust Temperature 5,Turbine Exhaust Temperature 6,Turbine Exhaust Temperature 7,Turbine Exhaust Temperature 8,Turbine Exhaust Temperature 9,Turbine Exhaust Temperature 10,Compressor Inlet Temperature 1,Compressor Inlet Temperature 2,Compressor Inlet Temperature 3,Compressor Inlet Temperature 4,Compressor Inlet Temperature 5,Compressor Outlet Temperature 1,Compressor Outlet Temperature 2,Compressor Outlet Temperature 3,Compressor Outlet Temperature 4,Compressor Outlet Temperature 5,Compressor Inlet Pressure 1,Compressor Inlet Pressure 2,Compressor Inlet Pressure 3,Compressor Inlet Pressure 4,Compressor Inlet Pressure 5,Compressor Outlet Pressure 1,Compressor Outlet Pressure 2,Compressor Outlet Pressure 3,Compressor Outlet Pressure 4,Compressor Outlet Pressure 5,Steam Pressure Stage 1,Steam Pressure Stage 2,Steam Pressure Stage 3,Steam Pressure Stage 4,Steam Pressure Stage 5,Steam Temperature Stage 1,Steam Temperature Stage 2,Steam Temperature Stage 3,Steam Temperature Stage 4,Steam Temperature Stage 5,Steam Temperature Stage 6,Steam Temperature Stage 7,Steam Temperature Stage 8,Fuel Flow 1,Fuel Flow 2,Fuel Flow 3,Fuel Flow 4,Fuel Flow 5,Lube Oil Temperature 1,Lube Oil Temperature 2,Lube Oil Temperature 3,Lube Oil Temperature 4,Lube Oil Temperature 5,Lube Oil Pressure 1,Lube Oil Pressure 2,Lube Oil Pressure 3,Lube Oil Pressure 4,Lube Oil Pressure 5,Bearing Vibration 1,Bearing Vibration 2,Bearing Vibration 3,Bearing Vibration 4,Bearing Vibration 5,Bearing Vibration 6,Bearing Vibration 7,Bearing Vibration 8,Bearing Vibration 9,Bearing Vibration 10,Valve Position 1,Valve Position 2,Valve Position 3,Valve Position 4,Valve Position 5,Valve Position 6,Valve Position 7,Valve Position 8,Valve Position 9,Valve Position 10,Guide Vane Angle 1,Guide Vane Angle 2,Guide Vane Angle 3,Guide Vane Angle 4,Guide Vane Angle 5
,MW,MW,MW,MW,rpm,rpm,rpm,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,°C,°C,°C,°C,°C,°C,°C,°C,kg/h,kg/h,kg/h,kg/h,kg/h,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,%,%,%,%,%,%,%,%,%,%,°,°,°,°,°
2025-06-10 06:15:00,91.58,100.98,47.55,81.96,8323.72,8044.0,9151.35,1200.95,1159.37,1209.27,1175.07,1151.83,1182.37,1079.06,1039.96,1189.54,1180.98,555.37,518.28,603.58,456.54,570.08,601.42,547.65,505.36,531.01,588.95,16.58,25.17,34.97,31.1,39.3,314.47,330.99,224.53,285.89,349.63,100.85,97.13,108.77,107.15,108.79,1562.52,1115.65,1111.54,1124.57,1402.51,4131.99,4166.7,2928.57,3669.72,1776.62,451.85,449.9,519.19,422.87,426.2,437.28,384.58,470.03,1845.48,4099.7,3946.06,3074.14,3883.07,65.71,69.32,69.29,66.41,77.65,243.23,224.32,274.63,265.4,221.98,0.4,3.7,3.68,0.72,3.79,4.26,3.66,3.29,3.75,3.44,12.44,74.61,56.44,55.61,59.25,37.1,79.23,54.75,30.02,23.47,20.92,9.86,22.66,12.22,21.01
2025-06-10 06:15:01,59.14,106.44,49.45,41.29,8485.49,9094.65,8581.08,1159.59,1077.75,1120.32,1159.28,1032.22,1126.82,1130.64,1080.35,1130.55,1193.59,485.46,551.67,502.17,563.17,506.99,492.68,472.1,462.43,482.18,512.79,20.39,16.78,33.6,36.51,24.12,237.32,237.21,274.69,361.67,210.89,99.05,105.07,107.92,107.68,103.21,1263.66,1417.25,1327.95,1512.33,1326.35,2287.23,4099.64,3019.91,4289.91,2428.39,434.39,545.95,384.1,552.91,495.28,401.9,495.96,556.7,4884.82,2628.86,2677.5,4297.4,2657.2,66.6,62.44,63.06,71.82,78.53,244.29,269.16,274.81,249.69,230.98,3.17,4.7,1.29,3.25,1.59,2.85,1.36,1.32,4.91,0.76,47.25,32.92,86.83,13.92,51.97,34.1,27.34,37.03,43.5,40.14,26.1,16.89,10.76,15.82,21.51
2025-06-10 06:15:02,104.06,72.9,97.23,82.41,9554.51,9081.42,8143.46,1082.03,1209.62,1122.59,1052.02,1141.39,1193.13,1219.86,1094.7,1178.24,1031.78,476.88,558.09,477.83,472.25,520.14,549.97,527.29,512.25,549.47,495.31,26.06,24.37,29.4,17.43,23.0,222.56,356.41,226.76,277.66,228.75,97.15,106.82,106.77,105.0,109.54,1326.02,1285.41,1302.94,1461.45,1496.12,3464.74,4198.93,4488.59,2973.66,4397.49,561.76,452.52,407.84,514.6,492.44,553.41,389.37,412.04,4906.97,3662.08,4063.84,3037.4,3118.31,54.55,67.91,63.85,48.46,54.81,230.07,229.86,279.92,227.47,256.28,2.34,0.73,3.37,0.55,1.73,4.72,1.0,0.37,2.21,3.97,16.6,92.81,86.34,88.71,86.67,18.17,44.84,60.66,44.51,19.91,18.62,14.79,21.13,29.85,16.69
2025-06-10 06:15:03,65.07,67.25,42.41,59.64,7794.53,9040.5,7546.19,1104.33,1165.41,1120.16,1194.93,1064.06,1201.61,1119.26,1059.14,1078.87,1151.86,586.51,546.66,550.64,457.34,591.14,619.38,532.98,517.62,579.61,609.33,35.72,19.84,36.43,20.08,36.02,206.43,342.11,355.79,255.45,377.7,100.78,103.51,95.05,108.72,102.3,1433.92,1175.62,1214.48,1242.15,1378.32,3788.4,3303.18,3937.37,767.8,3009.2,463.81,551.02,405.89,415.65,430.23,418.27,402.87,531.95,5046.73,4791.16,1722.69,3831.17,3573.38,60.26,66.31,52.04,79.45,75.22,262.99,254.47,244.58,202.26,200.25,3.12,4.82,0.4,3.96,3.33,4.14,1.16,3.1,1.53,3.12,38.85,19.42,76.8,98.88,61.57,53.59,13.5,12.82,44.99,42.08,9.19,26.55,7.47,5.34,12.0
2025-06-10 06:15:04,103.94,59.26,87.74,61.56,9574.03,8331.72,7508.27,1206.24,1076.65,1147.23,1110.87,1188.45,1100.19,1078.06,1184.35,1166.47,1045.93,585.53,501.26,512.8,513.23,491.42,597.63,554.9,614.57,513.97,542.31,23.81,15.02,31.83,30.91,34.29,199.24,373.58,346.92,309.25,184.04,108.99,107.37,99.15,107.17,96.33,1136.79,1379.92,1554.02,1113.78,1533.72,1695.8,1053.13,2801.39,4271.36,3839.31,440.69,538.06,496.58,421.69,477.75,514.65,553.63,477.44,2636.27,3231.14,3048.79,5301.32,5339.04,49.14,59.6,54.47,45.78,71.76,246.95,200.11,206.4,204.41,264.31,1.32,1.77,1.86,4.28,0.32,3.4,0.25,4.4,3.8,2.74,27.9,37.05,94.05,80.34,51.87,14.24,18.27,23.78,80.7,58.79,25.97,11.02,19.99,24.31,19.81
2025-06-10 06:15:05,44.27,54.01,76.86,60.28,8287.17,8638.26,8355.4,1086.41,1051.32,1189.24,1217.17,1037.99,1195.76,1199.44,1113.14,1201.99,1038.67,511.72,574.39,615.79,554.64,549.91,617.09,532.54,517.57,468.77,616.59,16.09,26.4,33.59,22.66,26.25,361.14,239.78,240.24,217.08,242.16,103.83,103.18,109.73,108.81,104.67,1236.52,1214.88,1456.37,1147.97,1229.9,1432.86,623.93,1391.01,1859.44,3131.35,486.28,410.99,515.65,523.49,492.58,438.17,562.58,439.09,4465.1,5470.62,3355.71,5252.57,4996.25,58.06,79.45,69.29,58.36,67.25,243.43,216.4,282.91,205.64,248.82,2.47,1.97,4.69,1.61,0.86,2.81,3.83,0.61,2.45,4.47,21.33,87.85,99.32,13.38,48.9,25.15,66.61,43.63,88.41,78.55,23.6,26.01,14.91,25.17,5.61
2025-06-10 06:15:06,60.21,96.39,49.46,62.87,7594.53,8647.9,9224.71,1103.0,1170.49,1195.54,1137.05,1121.93,1210.53,1148.33,1140.88,1074.0,1045.82,499.67,525.26,553.35,602.53,479.15,604.8,599.33,479.88,608.83,528.19,34.99,33.19,15.74,28.24,39.15,298.05,291.21,276.02,251.17,356.68,109.89,95.72,102.29,99.77,106.81,1245.93,1591.25,1354.15,1170.56,1184.13,4198.87,3489.15,2167.05,2551.11,995.56,488.88,530.66,509.71,380.41,518.87,425.32,534.46,436.5,2567.86,4947.5,1944.97,4262.28,2017.67,67.59,63.71,51.91,72.5,52.47,257.85,232.75,200.69,233.35,250.62,2.8,2.35,2.68,1.56,3.07,4.55,1.92,2.05,1.73,4.77,43.16,14.45,13.03,68.43,59.17,50.73,89.23,76.43,98.2,44.57,27.25,25.39,29.61,12.01,13.14
2025-06-10 06:15:07,67.8,100.31,76.99,72.97,9768.73,9689.77,9690.73,1158.12,1183.15,1106.73,1113.05,1074.06,1166.8,1206.87,1137.91,1079.54,1065.32,612.14,491.53,583.63,619.7,458.57,543.95,528.47,541.39,547.35,474.74,26.05,35.78,18.09,36.4,16.17,244.5,233.77,315.71,253.11,326.48,108.02,97.86,97.5,102.57,104.91,1411.12,1234.12,1384.47,1525.93,1112.32,1628.64,890.25,3480.07,3880.19,3238.44,499.5,453.24,508.59,520.56,400.79,398.55,452.4,383.62,4856.49,4766.69,2301.73,4808.8,1571.98,61.79,50.89,51.21,78.92,59.06,283.84,284.71,269.99,242.45,245.4,3.19,2.12,1.16,3.09,1.53,1.07,3.89,0.46,3.92,3.74,55.75,97.77,13.75,79.41,99.22,68.46,85.22,36.93,24.61,37.03,15.57,28.64,18.27,27.58,16.6
